what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1470974811728
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1470974811728
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1470974811728
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1470974811775
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1470974811775
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1470974811775
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1470974811775
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1470974811775
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1470974811869
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1470974811869
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1470974811869
os,sysinfo,,,"win32",1470974811884
arch,sysinfo,,,"x86_64",1470974811884
ws,sysinfo,,,"win32",1470974811884
locale,sysinfo,,,"en_US",1470974811884
processors,sysinfo,,,"4",1470974811884
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470974811884
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1470974811884
java.specification.name,sysinfo,,,"Java Platform API Specification",1470974811884
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470974811884
java.specification.version,sysinfo,,,"1.8",1470974811884
java.vendor,sysinfo,,,"Oracle Corporation",1470974811884
java.version,sysinfo,,,"1.8.0_65",1470974811884
java.vm.info,sysinfo,,,"mixed mode",1470974811884
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470974811884
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470974811884
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470974811884
java.vm.specification.version,sysinfo,,,"1.8",1470974811884
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470974811884
java.vm.version,sysinfo,,,"25.65-b01",1470974811884
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1470974812056
