what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.modify.method.parameters",1470827144466
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470827149349
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470827175978
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470827188177
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470827211530
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827212654
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1470827212872
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1470827213184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827214245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1470827214338
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470827216897
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470827221000
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470827330699
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470827336877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470827346377
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1470827348842
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827351135
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827401819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827419089
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827421366
error,log,,,"Unhandled event loop exception",1470827427872
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827538757
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827545683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827597834
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827626054
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827626148
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827636272
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827675787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827675959
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827681793
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827715832
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827737501
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1470827761416
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827779496
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827807015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827807327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827810930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827826639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827826827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827827747
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827836311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1470827840633
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1470827842988
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827857559
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1470827867714
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1470827871443
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827876950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827928539
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470827928648
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827930052
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827940270
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827961002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827974964
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470827984215
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1470828040563
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470828041499
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470828079469
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1470828103072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1470828105506
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828123414
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828141074
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1470828150059
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470828150356
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470828165550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828250742
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828250867
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828258448
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828258620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828274407
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828276934
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828291572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828330401
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828333755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828333848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828336001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828344644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828348544
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1470828356032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1470828357358
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828359027
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1470828367295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828369136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828369370
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828372583
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1470828375781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1470828377606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828378324
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1470828404641
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470828405062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828408338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828428992
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470828429881
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828584259
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828608018
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1470828638719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1470828639998
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828652213
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828712928
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828725018
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828745626
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1470828747389
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1470828747420
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470828760851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470828765329
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1470828769946
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470828770274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828773971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470828782333
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470828782988
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1470829465801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470829471558
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470829489186
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470829489576
