what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729195038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729205568
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729210420
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1470729210451
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729212027
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729260137
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729305237
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729351226
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470729360945
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470729381412
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1470729392878
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729396154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729399633
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470729399711
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470729399757
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729408353
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729470925
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729475418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729483202
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729488210
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1470729488241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470729511266
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729745314
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470729999578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470730003806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470730089078
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470730108921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470730130527
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1470730134567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470730138015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1470730144349
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470730144489
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470730144551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470730173864
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1470730179667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1470730179823
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1470730182210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1470730193723
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1470730198122
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1470730199869
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1470730201819
